"seqnames"	"start"	"end"	"width"	"strand"	"gene_id"	"entrezgene"	"ensembl_gene_id"
"9871"	"chrX"	8137989	8139308	1320	"-"	"VCX2"	51480	"ENSG00000177504"
"9872"	"chrX"	6451659	6453159	1501	"-"	"VCX3A"	51481	"ENSG00000169059"
"9873"	"chr9"	131581930	131592100	10171	"-"	"C9orf114"	51490	"ENSG00000198917"
"9874"	"chr5"	175810949	175815976	5028	"-"	"NOP16"	51491	"ENSG00000048162"
"9875"	"chr22"	32783569	32808242	24674	"-"	"RTCB"	51493	"ENSG00000100220"
"9876"	"chr15"	65822756	65870687	47932	"+"	"PTPLAD1"	51495	"ENSG00000074696"
"9877"	"chr15"	44719432	44821236	101805	"+"	"CTDSPL2"	51496	"ENSG00000137770"
"9878"	"chr20"	57556263	57570188	13926	"+"	"NELFCD"	51497	"ENSG00000101158"
"9879"	"chr12"	120881764	120884215	2452	"-"	"TRIAP1"	51499	"ENSG00000170855"
"9880"	"chr11"	86013253	86056969	43717	"+"	"C11orf73"	51501	"ENSG00000149196"
"9881"	"chr11"	94695787	94706776	10990	"-"	"CWC15"	51503	"ENSG00000150316"
"9882"	"chr11"	64083932	64085556	1625	"-"	"TRMT112"	51504	"ENSG00000173113"
"9883"	"chr1"	161122566	161128646	6081	"+"	"UFC1"	51506	"ENSG00000143222"
"9884"	"chr20"	55043647	55093943	50297	"+"	"RTFDC1"	51507	"ENSG00000022277"
"9885"	"chr9"	33264940	33281977	17038	"+"	"CHMP5"	51510	"ENSG00000086065"
"9886"	"chr22"	46692638	46726707	34070	"+"	"GTSE1"	51512	"ENSG00000075218"
"9887"	"chr6"	36322419	36356164	33746	"-"	"ETV7"	51513	"ENSG00000010030"
"9888"	"chr1"	212208919	212280742	71824	"+"	"DTL"	51514	"ENSG00000143476"
"9889"	"chr3"	48701364	48723797	22434	"-"	"NCKIPSD"	51517	"ENSG00000213672"
"9890"	"chr5"	145492601	145562223	69623	"-"	"LARS"	51520	"ENSG00000133706"
"9891"	"chr6"	10723148	10731362	8215	"+"	"TMEM14C"	51522	"ENSG00000111843"
"9892"	"chr5"	139026884	139063467	36584	"+"	"CXXC5"	51523	"ENSG00000171604"
"9893"	"chr11"	61129473	61136981	7509	"+"	"TMEM138"	51524	"ENSG00000149483"
"9894"	"chr20"	42825136	42839431	14296	"-"	"OSER1"	51526	"ENSG00000132823"
"9895"	"chr14"	96829814	96853625	23812	"+"	"GSKIP"	51527	"ENSG00000100744"
"9896"	"chr14"	59951161	59972128	20968	"+"	"JKAMP"	51528	"ENSG00000050130"
"9897"	"chr17"	79848666	79858867	10202	"+"	"ANAPC11"	51529	"ENSG00000141552"
"9898"	"chr7"	129658126	129691291	33166	"-"	"ZC3HC1"	51530	"ENSG00000091732"
"9899"	"chr9"	100666771	100684852	18082	"-"	"C9orf156"	51531	"ENSG00000136932"
"9900"	"chr3"	52444673	52457657	12985	"+"	"PHF7"	51533	"ENSG00000010318"
"9901"	"chr6"	142468367	142545826	77460	"+"	"VTA1"	51534	"ENSG00000009844"
"9902"	"chr12"	42632249	42853517	221269	"+"	"PPHLN1"	51535	"ENSG00000134283"
"9903"	"chr22"	30821518	30825045	3528	"+"	"MTFP1"	51537	"ENSG00000242114"
"9904"	"chr1"	31769842	31837783	67942	"+"	"ZCCHC17"	51538	"ENSG00000121766"
"9905"	"chr2"	238969530	239008054	38525	"+"	"SCLY"	51540	"ENSG00000132330"
"9906"	"chr2"	64119280	64246206	126927	"-"	"VPS54"	51542	"ENSG00000143952"
"9907"	"chr19"	56146825	56156988	10164	"+"	"ZNF581"	51545	"ENSG00000171425"
"9908"	"chr17"	79869815	79879199	9385	"-"	"SIRT7"	51547	"ENSG00000187531"
"9909"	"chr19"	4174106	4182601	8496	"-"	"SIRT6"	51548	"ENSG00000077463"
"9910"	"chr14"	102808956	102829253	20298	"-"	"CINP"	51550	"ENSG00000100865"
"9911"	"chr9"	123940415	123985292	44878	"-"	"RAB14"	51552	"ENSG00000119396"
"9912"	"chr3"	132316081	132337811	21731	"+"	"ACKR4"	51554	"ENSG00000129048"
"9913"	"chr3"	179512746	179754841	242096	"-"	"PEX5L"	51555	"ENSG00000114757"
"9914"	"chr6"	63985856	64029882	44027	"-"	"LGSN"	51557	"ENSG00000146166"
"9915"	"chr12"	104164231	104234975	70745	"-"	"NT5DC3"	51559	"ENSG00000111696"
"9916"	"chr3"	133543083	133614680	71598	"-"	"RAB6B"	51560	"ENSG00000154917"
"9917"	"chr12"	56732663	56734193	1531	"+"	"IL23A"	51561	"ENSG00000110944"
"9918"	"chr14"	36767770	36789882	22113	"-"	"MBIP"	51562	"ENSG00000151332"
"9919"	"chr12"	48176505	48226915	50411	"-"	"HDAC7"	51564	"ENSG00000061273"
"9920"	"chrX"	100877787	100882833	5047	"+"	"ARMCX3"	51566	"ENSG00000102401"
"9921"	"chr6"	24650205	24667261	17057	"-"	"TDP2"	51567	"ENSG00000111802"
"9922"	"chr13"	38923986	38937140	13155	"+"	"UFM1"	51569	"ENSG00000120686"
"9923"	"chr8"	130851839	131029375	177537	"-"	"FAM49B"	51571	"ENSG00000153310"
"9924"	"chr16"	19513015	19533467	20453	"-"	"GDE1"	51573	"ENSG00000006007"
"9925"	"chr4"	113558120	113578748	20629	"+"	"LARP7"	51574	"ENSG00000174720"
"9926"	"chr20"	13694969	13765532	70564	"-"	"ESF1"	51575	"ENSG00000089048"
"9927"	"chr8"	103838585	103906092	67508	"-"	"AZIN1"	51582	"ENSG00000155096"
"9928"	"chr11"	82868030	82898493	30464	"+"	"PCF11"	51585	"ENSG00000165494"
"9929"	"chr22"	20850200	20941919	91720	"+"	"MED15"	51586	"ENSG00000099917"
"9930"	"chr19"	4007644	4039384	31741	"+"	"PIAS4"	51588	"ENSG00000105229"
"9931"	"chr1"	114935399	115053781	118383	"-"	"TRIM33"	51592	"ENSG00000197323"
"9932"	"chr7"	100472733	100486285	13553	"+"	"SRRT"	51593	"ENSG00000087087"
"9933"	"chr2"	15307032	15701454	394423	"-"	"NBAS"	51594	"ENSG00000151779"
"9934"	"chr6"	33384219	33386094	1876	"-"	"CUTA"	51596	"ENSG00000112514"
"9935"	"chr19"	35739233	35758867	19635	"+"	"LSR"	51599	"ENSG00000105699"
"9936"	"chr2"	99771418	99779620	8203	"+"	"LIPT1"	51601	"ENSG00000144182"
"9937"	"chr2"	203130439	203168389	37951	"+"	"NOP58"	51602	"ENSG00000055044"
"9938"	"chr1"	171750788	171783163	32376	"+"	"METTL13"	51603	"ENSG00000010165"
"9939"	"chr20"	44044717	44054884	10168	"+"	"PIGT"	51604	"ENSG00000124155"
"9940"	"chr20"	5917881	5931182	13302	"-"	"TRMT6"	51605	"ENSG00000089195"
"9941"	"chr8"	54628117	54756118	128002	"-"	"ATP6V1H"	51606	"ENSG00000047249"
"9942"	"chr7"	916189	936073	19885	"+"	"GET4"	51608	"ENSG00000239857"
"9943"	"chr1"	101455179	101491644	36466	"-"	"DPH5"	51611	"ENSG00000117543"
"9944"	"chr20"	34129770	34145405	15636	"+"	"ERGIC3"	51614	"ENSG00000125991"
"9945"	"chrX"	77385245	77395203	9959	"-"	"TAF9B"	51616	"ENSG00000187325"
"9946"	"chr5"	173472607	173670504	197898	"+"	"NSG2"	51617	"ENSG00000170091"
"9947"	"chr7"	43966037	43995735	29699	"+"	"UBE2D4"	51619	"ENSG00000078967"
"9948"	"chr15"	31619058	31727868	108811	"+"	"KLF13"	51621	"ENSG00000169926"
"9949"	"chr7"	5938356	5965605	27250	"+"	"CCZ1"	51622	"ENSG00000122674"
"9950"	"chr2"	44001178	44037149	35972	"+"	"DYNC2LI1"	51626	"ENSG00000138036"
"9951"	"chr17"	42396993	42402238	5246	"-"	"SLC25A39"	51629	"ENSG00000013306"
"9952"	"chr7"	139025105	139108198	83094	"+"	"C7orf55-LUC7L2"	51631	"ENSG00000146963"
"9953"	"chr8"	92082424	92099323	16900	"+"	"OTUD6B"	51633	"ENSG00000155100"
"9954"	"chrX"	129535943	129547317	11375	"+"	"RBMX2"	51634	"ENSG00000134597"
"9955"	"chr14"	60610838	60636574	25737	"-"	"DHRS7"	51635	"ENSG00000100612"
"9956"	"chr14"	52456193	52471420	15228	"+"	"C14orf166"	51637	"ENSG00000087302"
"9957"	"chr2"	24290454	24299313	8860	"-"	"SF3B14"	51639	"ENSG00000115128"
"9958"	"chr11"	73498361	73576178	77818	"+"	"MRPL48"	51642	"ENSG00000175581"
"9959"	"chr12"	66517697	66563765	46069	"-"	"TMBIM4"	51643	"ENSG00000228144"
"9960"	"chr6"	36822603	36842800	20198	"-"	"PPIL1"	51645	"ENSG00000137168"
"9961"	"chr2"	30369807	30383399	13593	"+"	"YPEL5"	51646	"ENSG00000119801"
"9962"	"chr16"	66965959	66968326	2368	"-"	"FAM96B"	51647	"ENSG00000166595"
"9963"	"chr17"	55916842	55927417	10576	"-"	"MRPS23"	51649	"ENSG00000181610"
"9964"	"chr7"	140705854	140715028	9175	"-"	"MRPS33"	51650	"ENSG00000090263"
"9965"	"chr17"	57751997	57784987	32991	"-"	"PTRH2"	51651	"ENSG00000141378"
"9966"	"chr2"	86730554	86948245	217692	"-"	"CHMP3"	51652	"ENSG00000115561"
"9967"	"chr20"	31946645	31989367	42723	"-"	"CDK5RAP1"	51654	"ENSG00000101391"
"9968"	"chr17"	17397751	17399709	1959	"-"	"RASD1"	51655	"ENSG00000108551"
"9969"	"chr7"	75625656	75677322	51667	"-"	"STYXL1"	51657	"ENSG00000127952"
"9970"	"chr16"	85709804	85723679	13876	"-"	"GINS2"	51659	"ENSG00000131153"
"9971"	"chr6"	166778407	166796486	18080	"-"	"MPC1"	51660	"ENSG00000060762"
"9972"	"chr2"	179328391	179343327	14937	"-"	"FKBP7"	51661	"ENSG00000079150"
"9973"	"chr5"	32354456	32444867	90412	"-"	"ZFR"	51663	"ENSG00000056097"
"9974"	"chr2"	239335383	239360891	25509	"+"	"ASB1"	51665	"ENSG00000065802"
"9975"	"chr7"	95107756	95169544	61789	"+"	"ASB4"	51666	"ENSG00000005981"
"9976"	"chr7"	151038785	151075535	36751	"+"	"NUB1"	51667	"ENSG00000013374"
"9977"	"chr1"	54382247	54411602	29356	"-"	"HSPB11"	51668	"ENSG00000081870"
"9978"	"chr8"	29920528	29940723	20196	"-"	"TMEM66"	51669	"ENSG00000133872"
"9979"	"chr16"	67423712	67427438	3727	"-"	"TPPP3"	51673	"ENSG00000159713"
"9980"	"chr14"	94400499	94443137	42639	"-"	"ASB2"	51676	"ENSG00000100628"
"9981"	"chr7"	24612887	24733812	120926	"+"	"MPP6"	51678	"ENSG00000105926"
"9982"	"chr10"	104263744	104393292	129549	"+"	"SUFU"	51684	"ENSG00000107882"
"9983"	"chr1"	151735445	151743808	8364	"+"	"OAZ3"	51686	"ENSG00000143450"
"9984"	"chr19"	2321516	2328619	7104	"-"	"LSM7"	51690	"ENSG00000130332"
"9985"	"chr7"	117824086	117832878	8793	"+"	"NAA38"	51691	"ENSG00000128534"
"9986"	"chr2"	9563697	9613230	49534	"+"	"CPSF3"	51692	"ENSG00000119203"
"9987"	"chr16"	88922628	88929094	6467	"+"	"TRAPPC2L"	51693	"ENSG00000167515"
"9988"	"chr6"	139456249	139501939	45691	"+"	"HECA"	51696	"ENSG00000112406"
"9989"	"chr12"	110928902	110939922	11021	"-"	"VPS29"	51699	"ENSG00000111237"
"9990"	"chr11"	7686331	7698453	12123	"-"	"CYB5R2"	51700	"ENSG00000166394"
"9991"	"chr17"	26368763	26523407	154645	"+"	"NLK"	51701	"ENSG00000087095"
"9992"	"chr1"	17575593	17610728	35136	"+"	"PADI3"	51702	"ENSG00000142619"
"9993"	"chr10"	114133776	114188138	54363	"+"	"ACSL5"	51703	"ENSG00000197142"
"9994"	"chr16"	19868616	19897489	28874	"-"	"GPRC5B"	51704	"ENSG00000167191"
"9995"	"chr4"	101316498	101801283	484786	"-"	"EMCN"	51705	"ENSG00000164035"
"9996"	"chr1"	202930997	202936408	5412	"-"	"CYB5R1"	51706	"ENSG00000159348"
"9997"	"chr19"	12335501	12405702	70202	"-"	"ZNF44"	51710	"ENSG00000197857"
"9998"	"chr3"	150320662	150348222	27561	"+"	"SELT"	51714	"ENSG00000198843"
"9999"	"chr6"	57053607	57087078	33472	"-"	"RAB23"	51715	"ENSG00000112210"
"10000"	"chr16"	55794460	55828070	33611	"+"	"CES1P1"	51716	"ENSG00000228695"
"10001"	"chr2"	231577560	231685790	108231	"+"	"CAB39"	51719	"ENSG00000135932"
"10002"	"chr5"	176332006	176449634	117629	"-"	"UIMC1"	51720	"ENSG00000087206"
"10003"	"chr3"	121311966	121349139	37174	"+"	"FBXO40"	51725	"ENSG00000163833"
"10004"	"chr3"	186285192	186315061	29870	"+"	"DNAJB11"	51726	"ENSG00000090520"
"10005"	"chr1"	47799469	47844511	45043	"+"	"CMPK1"	51727	"ENSG00000162368"
"10006"	"chr16"	96407	103628	7222	"-"	"POLR3K"	51728	"ENSG00000161980"
"10007"	"chr12"	14939410	14956474	17065	"-"	"WBP11"	51729	"ENSG00000084463"
"10008"	"chr22"	24863206	24924358	61153	"+"	"UPB1"	51733	"ENSG00000100024"
"10009"	"chr16"	1988211	1993327	5117	"-"	"MSRB1"	51734	"ENSG00000198736"
"10010"	"chr5"	130759614	130970929	211316	"-"	"RAPGEF6"	51735	"ENSG00000158987"
"10011"	"chr3"	10327359	10334631	7273	"-"	"GHRL"	51738	"ENSG00000157017"
"10012"	"chr16"	78133310	79246564	1113255	"+"	"WWOX"	51741	"ENSG00000186153"
"10013"	"chr1"	235294949	235491534	196586	"-"	"ARID4B"	51742	"ENSG00000054267"
"10014"	"chr1"	160799950	160832692	32743	"-"	"CD244"	51744	"ENSG00000122223"
"10015"	"chr17"	48796905	48833574	36670	"+"	"LUC7L3"	51747	"ENSG00000108848"
"10016"	"chr20"	62289163	62328416	39254	"+"	"RTEL1"	51750	"ENSG00000258366"
"10017"	"chr17"	42923721	42927848	4128	"+"	"HIGD1B"	51751	"ENSG00000131097"
"10018"	"chr5"	96096521	96143803	47283	"-"	"ERAP1"	51752	"ENSG00000164307"
"10019"	"chr9"	35814448	35854844	40397	"+"	"TMEM8B"	51754	"ENSG00000137103"
"10020"	"chr17"	37617764	37721160	103397	"+"	"CDK12"	51755	"ENSG00000167258"
"10021"	"chr9"	132589569	132598142	8574	"-"	"C9orf78"	51759	"ENSG00000136819"
"10022"	"chr16"	19179293	19279652	100360	"+"	"SYT17"	51760	"ENSG00000103528"
"10023"	"chr13"	25946209	26599989	653781	"+"	"ATP8A2"	51761	"ENSG00000132932"
"10024"	"chr15"	63481668	63559981	78314	"+"	"RAB8B"	51762	"ENSG00000166128"
"10025"	"chr17"	1397865	1420182	22318	"-"	"INPP5K"	51763	"ENSG00000132376"
"10026"	"chr16"	848041	850733	2693	"-"	"GNG13"	51764	"ENSG00000127588"
"10027"	"chrX"	131157293	131209971	52679	"+"	"MST4"	51765	"ENSG00000134602"
"10028"	"chr12"	27126128	27167367	41240	"-"	"TM7SF3"	51768	"ENSG00000064115"
"10029"	"chr11"	77371041	77532063	161023	"-"	"RSF1"	51773	"ENSG00000048649"
"10030"	"chr2"	173940163	174132738	192576	"+"	"MLTK"	51776	"ENSG00000091436"
"10031"	"chr4"	120056939	120108944	52006	"+"	"MYOZ2"	51778	"ENSG00000172399"
"10032"	"chr5"	137688285	137772717	84433	"+"	"KDM3B"	51780	"ENSG00000120733"
"10033"	"chr4"	156750881	156787425	36545	"-"	"ASIC5"	51802	"ENSG00000256394"
"10034"	"chr14"	61176246	61191066	14821	"-"	"SIX4"	51804	"ENSG00000100625"
"10035"	"chr6"	99817276	99842080	24805	"-"	"COQ3"	51805	"ENSG00000132423"
"10036"	"chr10"	5540658	5541533	876	"-"	"CALML5"	51806	"ENSG00000178372"
"10037"	"chr22"	18593097	18629321	36225	"+"	"TUBA8"	51807	"ENSG00000183785"
"10038"	"chr5"	125935960	125962944	26985	"+"	"PHAX"	51808	"ENSG00000164902"
"10039"	"chr4"	174089904	174245118	155215	"+"	"GALNT7"	51809	"ENSG00000109586"
"10040"	"chr22"	17660194	17702879	42686	"-"	"CECR1"	51816	"ENSG00000093072"
"10041"	"chr2"	60678302	60780702	102401	"-"	"BCL11A"	53335	"ENSG00000119866"
"10042"	"chrX"	88002226	88009786	7561	"+"	"CPXCR1"	53336	"ENSG00000147183"
"10043"	"chr15"	83685174	83736106	50933	"-"	"BTBD1"	53339	"ENSG00000064726"
"10044"	"chr11"	124543694	124567414	23721	"+"	"SPA17"	53340	"ENSG00000064199"
"10045"	"chr13"	21276266	21297237	20972	"+"	"IL17D"	53342	"ENSG00000172458"
"10046"	"chr4"	88343734	88380606	36873	"+"	"NUDT9"	53343	"ENSG00000170502"
"10047"	"chrX"	72783036	72906937	123902	"+"	"CHIC1"	53344	"ENSG00000204116"
"10048"	"chr19"	19375173	19384200	9028	"-"	"TM6SF2"	53345	"ENSG00000213996"
"10049"	"chr15"	83776159	83813606	37448	"+"	"TM6SF1"	53346	"ENSG00000136404"
"10050"	"chr21"	43824008	43867791	43784	"+"	"UBASH3A"	53347	"ENSG00000160185"
"10051"	"chr14"	73436159	73493920	57762	"-"	"ZFYVE1"	53349	"ENSG00000165861"
"10052"	"chr2"	140988992	142889270	1900279	"-"	"LRP1B"	53353	"ENSG00000168702"
"10053"	"chr10"	91342745	91405215	62471	"-"	"PANK1"	53354	"ENSG00000152782"
"10054"	"chr9"	91628060	91793682	165623	"-"	"SHC3"	53358	"ENSG00000148082"
"10055"	"chr4"	77035812	77069668	33857	"-"	"NUP54"	53371	"ENSG00000138750"
"10056"	"chr12"	113658855	113736390	77536	"+"	"TPCN1"	53373	"ENSG00000186815"
"10057"	"chr6"	45868045	46048132	180088	"-"	"CLIC5"	53405	"ENSG00000112782"
"10058"	"chr4"	4417469	4544073	126605	"-"	"STX18"	53407	"ENSG00000168818"
"10059"	"chr19"	1576639	1592882	16244	"-"	"MBD3"	53615	"ENSG00000071655"
"10060"	"chr7"	87563458	87832204	268747	"+"	"ADAM22"	53616	"ENSG00000008277"
"10061"	"chr16"	81272053	81324747	52695	"+"	"BCMO1"	53630	"ENSG00000135697"
"10062"	"chr2"	219687106	219696809	9704	"-"	"PRKAG3"	53632	"ENSG00000115592"
"10063"	"chr19"	50353992	50364001	10010	"+"	"PTOV1"	53635	"ENSG00000104960"
"10064"	"chr19"	10623623	10628607	4985	"-"	"S1PR5"	53637	"ENSG00000180739"
"10065"	"chr21"	38378450	38391959	13510	"+"	"RIPPLY3"	53820	"ENSG00000183145"
"10066"	"chr19"	35634154	35645204	11051	"+"	"FXYD7"	53822	"ENSG00000221946"
"10067"	"chr11"	117707693	117748201	40509	"-"	"FXYD6"	53826	"ENSG00000137726"
"10068"	"chr19"	35645633	35660786	15154	"+"	"FXYD5"	53827	"ENSG00000089327"
"10069"	"chr10"	43867090	43871783	4694	"+"	"FXYD4"	53828	"ENSG00000150201"
"10070"	"chr3"	151044100	151047336	3237	"-"	"P2RY13"	53829	"ENSG00000181631"
"10071"	"chr12"	54756229	54758271	2043	"-"	"GPR84"	53831	"ENSG00000139572"
"10072"	"chr6"	137321108	137366298	45191	"-"	"IL20RA"	53832	"ENSG00000016402"
"10073"	"chr3"	136665072	136729927	64856	"+"	"IL20RB"	53833	"ENSG00000174564"
"10074"	"chr4"	1003724	1020685	16962	"+"	"FGFRL1"	53834	"ENSG00000127418"
"10075"	"chr3"	151011891	151034740	22850	"-"	"GPR87"	53836	"ENSG00000138271"
"10076"	"chr11"	68028803	68039469	10667	"-"	"C11orf24"	53838	"ENSG00000171067"
"10077"	"chr11"	5617955	5665628	47674	"+"	"TRIM6-TRIM34"	53840	"ENSG00000258588"
"10078"	"chr11"	616565	626078	9514	"-"	"CDHR5"	53841	"ENSG00000099834"
"10079"	"chr4"	184020446	184241930	221485	"+"	"WWC2"	53842	"ENSG00000151718"
"10080"	"chr10"	26223196	26501456	278261	"+"	"MYO3A"	53904	"ENSG00000095777"
"10081"	"chr15"	45422131	45457774	35644	"+"	"DUOX1"	53905	"ENSG00000137857"
"10082"	"chr19"	41284121	41302847	18727	"+"	"RAB4B"	53916	"ENSG00000167578"
"10083"	"chr5"	176728199	176730745	2547	"-"	"RAB24"	53917	"ENSG00000169228"
"10084"	"chr5"	52083774	52099880	16107	"+"	"PELO"	53918	"ENSG00000152684"
"10085"	"chr12"	20848289	20906320	58032	"+"	"SLCO1C1"	53919	"ENSG00000139155"
"10086"	"chr2"	201735630	201754026	18397	"-"	"PPIL3"	53938	"ENSG00000240344"
"10087"	"chrX"	31089360	31090170	811	"-"	"FTHL17"	53940	"ENSG00000132446"
"10088"	"chr11"	98891683	100229616	1337934	"+"	"CNTN5"	53942	"ENSG00000149972"
"10089"	"chr15"	64457716	64648442	190727	"-"	"CSNK1G1"	53944	"ENSG00000169118"
"10090"	"chr22"	43088127	43117304	29178	"-"	"A4GALT"	53947	"ENSG00000128274"
"10091"	"chr14"	92588281	92630755	42475	"+"	"CPSF2"	53981	"ENSG00000165934"
"10092"	"chr21"	40556102	40693485	137384	"-"	"BRWD1"	54014	"ENSG00000185658"
"10093"	"chr21"	43916118	44001550	85433	"+"	"SLC37A1"	54020	"ENSG00000160190"
"10094"	"chr21"	15588451	15600693	12243	"+"	"RBM11"	54033	"ENSG00000185272"
"10095"	"chr21"	47063608	47362368	298761	"+"	"PCBP3"	54039	"ENSG00000183570"
"10096"	"chr21"	47720095	47743789	23695	"-"	"C21orf58"	54058	"ENSG00000160298"
"10097"	"chr21"	47706251	47717665	11415	"+"	"YBEY"	54059	"ENSG00000182362"
"10098"	"chr21"	36096105	36109478	13374	"-"	"LINC00160"	54064	"ENSG00000230978"
"10099"	"chr21"	35747779	35780164	32386	"+"	"SMIM11"	54065	"ENSG00000205670"
"10100"	"chr21"	33640530	33651380	10851	"-"	"MIS18A"	54069	"ENSG00000159055"
"10101"	"chr21"	26758133	26804013	45881	"-"	"LINC00158"	54072	"ENSG00000185433"
"10102"	"chr21"	19207333	19257925	50593	"-"	"CHODL-AS1"	54075	"ENSG00000231755"
"10103"	"chr21"	45917775	46131495	213721	"-"	"TSPEAR"	54084	"ENSG00000175894"
"10104"	"chr21"	29094698	29123552	28855	"+"	"LINC00113"	54088	"ENSG00000225298"
"10105"	"chr21"	43136596	43137740	1145	"+"	"LINC00112"	54089	"ENSG00000232401"
"10106"	"chr21"	43099341	43117496	18156	"+"	"LINC00111"	54090	"ENSG00000227702"
"10107"	"chr21"	37406839	37451687	44849	"-"	"SETD4"	54093	"ENSG00000185917"
"10108"	"chr21"	15215454	15220685	5232	"-"	"CYP4F29P"	54094	"ENSG00000228314"
"10109"	"chr21"	42676139	42729358	53220	"+"	"FAM3B"	54097	"ENSG00000183844"
"10110"	"chr21"	43159529	43187266	27738	"-"	"RIPK4"	54101	"ENSG00000183421"
"10111"	"chr21"	36041688	36090525	48838	"+"	"CLIC6"	54102	"ENSG00000159212"
"10112"	"chr7"	76940068	77045717	105650	"-"	"GSAP"	54103	"ENSG00000186088"
"10113"	"chr3"	52255096	52273183	18088	"-"	"TLR9"	54106	"ENSG00000239732"
"10114"	"chr9"	116169515	116172952	3438	"-"	"POLE3"	54107	"ENSG00000148229"
"10115"	"chr8"	141521397	141527236	5840	"+"	"CHRAC1"	54108	"ENSG00000104472"
"10116"	"chr1"	101003693	101007574	3882	"+"	"GPR88"	54112	"ENSG00000181656"
"10117"	"chr21"	26957968	26979829	21862	"-"	"MRPL39"	54148	"ENSG00000154719"
"10118"	"chr21"	19161284	19191703	30420	"-"	"C21orf91"	54149	"ENSG00000154642"
"10119"	"chr3"	182655862	182703741	47880	"-"	"DCUN1D1"	54165	"ENSG00000043093"
"10120"	"chr9"	100819021	100845357	26337	"+"	"NANS"	54187	"ENSG00000095380"
"10121"	"chr7"	25159710	25164980	5271	"-"	"CYCS"	54205	"ENSG00000172115"
"10122"	"chr1"	8064464	8086368	21905	"-"	"ERRFI1"	54206	"ENSG00000116285"
"10123"	"chr14"	88649113	88793251	144139	"-"	"KCNK10"	54207	"ENSG00000100433"
"10124"	"chr6"	41126244	41130924	4681	"-"	"TREM2"	54209	"ENSG00000095970"
"10125"	"chr6"	41235664	41254457	18794	"-"	"TREM1"	54210	"ENSG00000124731"
"10126"	"chr8"	50822349	51706678	884330	"+"	"SNTG1"	54212	"ENSG00000147481"
"10127"	"chr2"	946554	1371385	424832	"+"	"SNTG2"	54221	"ENSG00000172554"
"10128"	"chrX"	53078273	53109797	31525	"+"	"GPR173"	54328	"ENSG00000184194"
"10129"	"chr7"	112718386	112727833	9448	"-"	"GPR85"	54329	"ENSG00000164604"
"10130"	"chr14"	52292913	52446060	153148	"+"	"GNG2"	54331	"ENSG00000186469"
"10131"	"chr8"	75233365	75401107	167743	"+"	"GDAP1"	54332	"ENSG00000104381"
"10132"	"chr1"	155112367	155113071	705	"-"	"DPM3"	54344	"ENSG00000179085"
"10133"	"chr20"	62679076	62680994	1919	"-"	"SOX18"	54345	"ENSG00000203883"
"10134"	"chr6"	167684657	167729507	44851	"+"	"UNC93A"	54346	"ENSG00000112494"
"10135"	"chr4"	5016313	5021199	4887	"-"	"CYTL1"	54360	"ENSG00000170891"
"10136"	"chr1"	22443798	22470462	26665	"-"	"WNT4"	54361	"ENSG00000162552"
"10137"	"chr20"	7863628	7921121	57494	"-"	"HAO1"	54363	"ENSG00000101323"
"10138"	"chr16"	75681684	75795770	114087	"+"	"TERF2IP"	54386	"ENSG00000166848"
"10139"	"chr12"	46751972	46766650	14679	"-"	"SLC38A2"	54407	"ENSG00000134294"
"10140"	"chrX"	70364681	70391051	26371	"+"	"NLGN3"	54413	"ENSG00000196338"
"10141"	"chr11"	124503009	124565603	62595	"-"	"SIAE"	54414	"ENSG00000110013"
"10142"	"chr7"	141490017	141491166	1150	"+"	"TAS2R5"	54429	"ENSG00000127366"
"10143"	"chr2"	183580999	183659191	78193	"+"	"DNAJC10"	54431	"ENSG00000077232"
"10144"	"chr1"	54317392	54356407	39016	"-"	"YIPF1"	54432	"ENSG00000058799"
"10145"	"chr4"	110736666	110745893	9228	"+"	"GAR1"	54433	"ENSG00000109534"
"10146"	"chr12"	109176466	109251366	74901	"-"	"SSH1"	54434	"ENSG00000084112"
"10147"	"chr6"	29758816	29760850	2035	"-"	"HCG4"	54435	"ENSG00000176998"
"10148"	"chr4"	8183799	8243530	59732	"+"	"SH3TC1"	54436	"ENSG00000125089"
"10149"	"chr3"	122628041	122747452	119412	"-"	"SEMA5B"	54437	"ENSG00000082684"
"10150"	"chr6"	13358062	13487894	129833	"-"	"GFOD1"	54438	"ENSG00000145990"
"10151"	"chr5"	145583113	145718814	135702	"+"	"RBM27"	54439	"ENSG00000091009"
"10152"	"chrX"	128913955	128929177	15223	"+"	"SASH3"	54440	"ENSG00000122122"
"10153"	"chr16"	2732476	2759031	26556	"+"	"KCTD5"	54442	"ENSG00000167977"
"10154"	"chr7"	36429415	36493400	63986	"+"	"ANLN"	54443	"ENSG00000011426"
"10155"	"chr20"	19867165	19983101	115937	"+"	"RIN2"	54453	"ENSG00000132669"
"10156"	"chr2"	23971534	24149984	178451	"-"	"ATAD2B"	54454	"ENSG00000119778"
"10157"	"chr1"	16573334	16678949	105616	"-"	"FBXO42"	54455	"ENSG00000037637"
"10158"	"chr22"	50528308	50600119	71812	"+"	"MOV10L1"	54456	"ENSG00000073146"
"10159"	"chrX"	100523241	100548059	24819	"-"	"TAF7L"	54457	"ENSG00000102387"
"10160"	"chr12"	53835389	53840429	5041	"+"	"PRR13"	54458	"ENSG00000205352"
"10161"	"chr1"	150266289	150281414	15126	"+"	"MRPS21"	54460	"ENSG00000187145"
